DATE;CATEGORY;VALUE;METRIC;GEO
2018-11-01;Kiemelt P1;12,583333;Medián;Budapest
2018-12-01;Kiemelt P1;15,025;Medián;Budapest
2019-01-01;Kiemelt P1;13,0416665;Medián;Budapest
2019-02-01;Kiemelt P1;12,2;Medián;Budapest
2019-03-01;Kiemelt P1;11,283333;Medián;Budapest
2019-04-01;Kiemelt P1;10,916666;Medián;Budapest
2019-05-01;Kiemelt P1;11,7;Medián;Budapest
2019-06-01;Kiemelt P1;12,508333;Medián;Budapest
2019-07-01;Kiemelt P1;11,333333;Medián;Budapest
2019-08-01;Kiemelt P1;11,783333;Medián;Budapest
2019-09-01;Kiemelt P1;12,8749995;Medián;Budapest
2019-10-01;Kiemelt P1;11,6249995;Medián;Budapest
2019-11-01;Kiemelt P1;12,35;Medián;Budapest
2019-12-01;Kiemelt P1;12,6666665;Medián;Budapest
2020-01-01;Kiemelt P1;11,133333;Medián;Budapest
2020-02-01;Kiemelt P1;11,716666;Medián;Budapest
2020-03-01;Kiemelt P1;10,416666;Medián;Budapest
2020-04-01;Kiemelt P1;10,3666665;Medián;Budapest
2020-05-01;Kiemelt P1;10,2999995;Medián;Budapest
2020-06-01;Kiemelt P1;9,8;Medián;Budapest
2020-07-01;Kiemelt P1;10,816666;Medián;Budapest
2020-08-01;Kiemelt P1;10,166666;Medián;Budapest
2020-09-01;Kiemelt P1;11,216666;Medián;Budapest
2020-10-01;Kiemelt P1;10,883333;Medián;Budapest
2020-11-01;Kiemelt P1;12,3916665;Medián;Budapest
2020-12-01;Kiemelt P1;11,425;Medián;Budapest
2021-01-01;Kiemelt P1;10,658333;Medián;Budapest
2021-02-01;Kiemelt P1;10,566666;Medián;Budapest
2021-03-01;Kiemelt P1;11,758333;Medián;Budapest
2021-04-01;Kiemelt P1;11,0416665;Medián;Budapest
2021-05-01;Kiemelt P1;9,833333;Medián;Budapest
2021-06-01;Kiemelt P1;9,533333;Medián;Budapest
2021-07-01;Kiemelt P1;10,4;Medián;Budapest
2021-08-01;Kiemelt P1;10,6749995;Medián;Budapest
2021-09-01;Kiemelt P1;9,983333;Medián;Budapest
2021-10-01;Kiemelt P1;10,65;Medián;Budapest
2021-11-01;Kiemelt P1;11,633333;Medián;Budapest
2021-12-01;Kiemelt P1;10,925;Medián;Budapest
2022-01-01;Kiemelt P1;10,383333;Medián;Budapest
2022-02-01;Kiemelt P1;10,7;Medián;Budapest
2022-03-01;Kiemelt P1;10,816666;Medián;Budapest
2022-04-01;Kiemelt P1;10,733333;Medián;Budapest
2022-05-01;Kiemelt P1;11,1999995;Medián;Budapest
2022-06-01;Kiemelt P1;11,0416665;Medián;Budapest
2022-07-01;Kiemelt P1;10,6416665;Medián;Budapest
2022-08-01;Kiemelt P1;10,5;Medián;Budapest
2022-09-01;Kiemelt P1;10,783333;Medián;Budapest
2022-10-01;Kiemelt P1;10,5499995;Medián;Budapest
2022-11-01;Kiemelt P1;10,416666;Medián;Budapest
2022-12-01;Kiemelt P1;10,158333;Medián;Budapest
2023-01-01;Kiemelt P1;9,9999995;Medián;Budapest
2023-02-01;Kiemelt P1;9,858333;Medián;Budapest
